(-0.07, -0.14, 0.99)
(-0.07, -0.13, 0.99)
(-0.07, -0.13, 0.99)
(-0.07, -0.13, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.13, 0.99)
(-0.08, -0.13, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.11, 0.99)
(-0.08, -0.10, 0.99)
(-0.08, -0.10, 0.99)
(-0.06, -0.14, 0.99)
(-0.04, -0.18, 0.98)
(-0.04, -0.20, 0.98)
(-0.04, -0.22, 0.97)
(-0.04, -0.21, 0.98)
(-0.04, -0.21, 0.98)
(-0.03, -0.21, 0.98)
(-0.03, -0.20, 0.98)
(-0.03, -0.20, 0.98)
(-0.04, -0.21, 0.98)
(-0.04, -0.20, 0.98)
(-0.04, -0.20, 0.98)
(-0.03, -0.19, 0.98)
(-0.03, -0.19, 0.98)
(-0.04, -0.19, 0.98)
(-0.04, -0.19, 0.98)
(-0.04, -0.19, 0.98)
(-0.03, -0.18, 0.98)
(-0.03, -0.18, 0.98)
(-0.03, -0.18, 0.98)
(-0.03, -0.17, 0.98)
(-0.03, -0.16, 0.99)
(-0.03, -0.16, 0.99)
(-0.03, -0.16, 0.99)
(-0.03, -0.15, 0.99)
(-0.04, -0.15, 0.99)
(-0.04, -0.15, 0.99)
(-0.04, -0.15, 0.99)
(-0.06, -0.17, 0.98)
(-0.06, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.06, -0.19, 0.98)
(-0.06, -0.19, 0.98)
(-0.06, -0.19, 0.98)
(-0.06, -0.19, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.16, 0.98)
(-0.07, -0.16, 0.98)
(-0.07, -0.15, 0.99)
(-0.07, -0.15, 0.99)
(-0.07, -0.14, 0.99)
(-0.07, -0.14, 0.99)
(-0.07, -0.14, 0.99)
(-0.07, -0.14, 0.99)
(-0.07, -0.13, 0.99)
(-0.07, -0.12, 0.99)
(-0.07, -0.12, 0.99)
(-0.07, -0.12, 0.99)
(-0.07, -0.11, 0.99)
(-0.07, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.07, -0.10, 0.99)
(-0.06, -0.12, 0.99)
(-0.06, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.18, 0.98)
(-0.06, -0.19, 0.98)
(-0.06, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.16, 0.98)
(-0.07, -0.15, 0.99)
(-0.07, -0.15, 0.99)
(-0.07, -0.15, 0.99)
(-0.07, -0.15, 0.99)
(-0.07, -0.14, 0.99)
(-0.07, -0.14, 0.99)
(-0.07, -0.14, 0.99)
(-0.07, -0.13, 0.99)
(-0.07, -0.13, 0.99)
(-0.07, -0.12, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.13, 0.99)
(-0.06, -0.14, 0.99)
(-0.06, -0.13, 0.99)
(-0.06, -0.12, 0.99)
(-0.06, -0.12, 0.99)
(-0.06, -0.12, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.12, 0.99)
(-0.06, -0.12, 0.99)
(-0.06, -0.12, 0.99)
(-0.06, -0.12, 0.99)
(-0.06, -0.12, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.10, 0.99)
(-0.07, -0.09, 0.99)
(-0.07, -0.09, 0.99)
(-0.07, -0.09, 0.99)
(-0.07, -0.08, 0.99)
(-0.07, -0.08, 0.99)
(-0.07, -0.08, 0.99)
(-0.07, -0.07, 1.00)
(-0.06, -0.08, 0.99)
(-0.06, -0.08, 0.99)
(-0.06, -0.07, 1.00)
(-0.06, -0.06, 1.00)
(-0.06, -0.06, 1.00)
(-0.06, -0.06, 1.00)
(-0.06, -0.06, 1.00)
(-0.06, -0.05, 1.00)
(-0.05, -0.08, 1.00)
(-0.05, -0.12, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.11, 0.99)
(-0.06, -0.10, 0.99)
(-0.06, -0.10, 0.99)
(-0.06, -0.10, 0.99)
(-0.06, -0.10, 0.99)
(-0.07, -0.10, 0.99)
(-0.07, -0.09, 0.99)
(-0.06, -0.09, 0.99)
(-0.06, -0.08, 0.99)
(-0.06, -0.08, 0.99)
(-0.06, -0.08, 0.99)
(-0.06, -0.07, 1.00)
(-0.06, -0.04, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.04, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.06, 1.00)
(-0.04, -0.10, 0.99)
(-0.04, -0.14, 0.99)
(-0.03, -0.18, 0.98)
(-0.03, -0.19, 0.98)
(-0.04, -0.21, 0.98)
(-0.05, -0.22, 0.97)
(-0.06, -0.22, 0.97)
(-0.06, -0.22, 0.97)
(-0.06, -0.22, 0.97)
(-0.06, -0.22, 0.97)
(-0.05, -0.21, 0.98)
(-0.05, -0.20, 0.98)
(-0.05, -0.21, 0.98)
(-0.05, -0.21, 0.98)
(-0.05, -0.21, 0.98)
(-0.05, -0.21, 0.98)
(-0.05, -0.21, 0.98)
(-0.05, -0.21, 0.98)
(-0.05, -0.21, 0.98)
(-0.05, -0.20, 0.98)
(-0.05, -0.19, 0.98)
(-0.05, -0.19, 0.98)
(-0.05, -0.18, 0.98)
(-0.05, -0.18, 0.98)
(-0.04, -0.17, 0.98)
(-0.05, -0.17, 0.98)
(-0.06, -0.17, 0.98)
(-0.06, -0.17, 0.98)
(-0.06, -0.17, 0.98)
(-0.06, -0.16, 0.98)
(-0.06, -0.16, 0.98)
(-0.05, -0.15, 0.99)
(-0.04, -0.18, 0.98)
(-0.03, -0.24, 0.97)
(-0.03, -0.29, 0.96)
(-0.03, -0.31, 0.95)
(-0.02, -0.31, 0.95)
(-0.03, -0.31, 0.95)
(-0.03, -0.32, 0.95)
(-0.03, -0.32, 0.95)
(-0.03, -0.31, 0.95)
(-0.03, -0.31, 0.95)
(-0.03, -0.30, 0.95)
(-0.03, -0.30, 0.95)
(-0.03, -0.30, 0.95)
(-0.03, -0.30, 0.95)
(-0.03, -0.30, 0.95)
(-0.03, -0.29, 0.96)
(-0.03, -0.29, 0.96)
(-0.03, -0.29, 0.96)
(-0.03, -0.29, 0.96)
(-0.03, -0.28, 0.96)
(-0.03, -0.28, 0.96)
(-0.03, -0.28, 0.96)
(-0.03, -0.27, 0.96)
(-0.03, -0.27, 0.96)
(-0.03, -0.27, 0.96)
(-0.03, -0.27, 0.96)
(-0.03, -0.27, 0.96)
(-0.03, -0.27, 0.96)
(-0.03, -0.27, 0.96)
(-0.03, -0.26, 0.96)
(-0.03, -0.26, 0.96)
(-0.03, -0.26, 0.97)
(-0.03, -0.25, 0.97)
(-0.03, -0.25, 0.97)
(-0.02, -0.25, 0.97)
(-0.03, -0.25, 0.97)
(-0.03, -0.23, 0.97)
(-0.04, -0.22, 0.98)
(-0.07, -0.13, 0.99)
(-0.07, -0.11, 0.99)
(-0.07, -0.07, 0.99)
(-0.07, -0.06, 1.00)
(-0.08, -0.06, 1.00)
(-0.07, -0.05, 1.00)
(-0.07, -0.05, 1.00)
(-0.07, -0.05, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.05, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.03, 1.00)
(-0.07, -0.03, 1.00)
(-0.07, -0.03, 1.00)
(-0.07, -0.02, 1.00)
(-0.07, -0.01, 1.00)
(-0.07, -0.01, 1.00)
(-0.07, 0.00, 1.00)
(-0.07, 0.00, 1.00)
(-0.07, 0.00, 1.00)
(-0.07, 0.00, 1.00)
(-0.08, 0.01, 1.00)
(-0.08, 0.01, 1.00)
(-0.08, 0.01, 1.00)
(-0.07, 0.02, 1.00)
(-0.08, 0.02, 1.00)
(-0.07, 0.01, 1.00)
(-0.04, -0.09, 1.00)
(-0.04, -0.12, 0.99)
(-0.04, -0.14, 0.99)
(-0.03, -0.16, 0.99)
(-0.03, -0.15, 0.99)
(-0.03, -0.15, 0.99)
(-0.04, -0.16, 0.99)
(-0.04, -0.16, 0.99)
(-0.05, -0.16, 0.99)
(-0.05, -0.16, 0.99)
(-0.05, -0.16, 0.99)
(-0.05, -0.16, 0.99)
(-0.05, -0.15, 0.99)
(-0.05, -0.15, 0.99)
(-0.05, -0.15, 0.99)
(-0.05, -0.14, 0.99)
(-0.05, -0.14, 0.99)
(-0.05, -0.14, 0.99)
(-0.05, -0.14, 0.99)
(-0.05, -0.14, 0.99)
(-0.05, -0.14, 0.99)
(-0.05, -0.13, 0.99)
(-0.05, -0.12, 0.99)
(-0.05, -0.12, 0.99)
(-0.03, -0.11, 0.99)
(-0.03, -0.09, 1.00)
(-0.03, -0.09, 1.00)
(-0.03, -0.08, 1.00)
(-0.03, -0.08, 1.00)
(-0.03, -0.07, 1.00)
(-0.05, -0.07, 1.00)
(-0.04, -0.08, 1.00)
(-0.06, -0.09, 0.99)
(-0.06, -0.10, 0.99)
(-0.06, -0.10, 0.99)
(-0.06, -0.10, 0.99)
(-0.06, -0.09, 0.99)
(-0.05, -0.08, 1.00)
(-0.05, -0.09, 0.99)
(-0.07, -0.10, 0.99)
(-0.07, -0.09, 0.99)
(-0.07, -0.09, 0.99)
(-0.07, -0.10, 0.99)
(-0.07, -0.10, 0.99)
(-0.07, -0.10, 0.99)
(-0.06, -0.07, 1.00)
(-0.06, -0.07, 1.00)
(-0.06, -0.07, 1.00)
(-0.06, -0.06, 1.00)
(-0.06, -0.06, 1.00)
(-0.06, -0.06, 1.00)
(-0.05, -0.06, 1.00)
(-0.05, -0.06, 1.00)
(-0.06, -0.06, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.04, 1.00)
(-0.07, -0.03, 1.00)
(-0.06, -0.03, 1.00)
(-0.06, -0.03, 1.00)
(-0.06, -0.03, 1.00)
(-0.06, -0.01, 1.00)
(-0.06, -0.01, 1.00)
(-0.06, 0.00, 1.00)
(-0.06, -0.01, 1.00)
(-0.06, -0.01, 1.00)
(-0.06, -0.01, 1.00)
(-0.06, -0.01, 1.00)
(-0.06, -0.01, 1.00)
(-0.06, 0.00, 1.00)
(-0.06, 0.00, 1.00)
(-0.06, 0.00, 1.00)
(-0.06, -0.01, 1.00)
(-0.06, 0.00, 1.00)
(-0.05, 0.01, 1.00)
(-0.03, -0.02, 1.00)
(-0.02, -0.09, 1.00)
(-0.03, -0.10, 0.99)
(-0.03, -0.10, 0.99)
(-0.03, -0.10, 0.99)
(-0.03, -0.10, 0.99)
(-0.03, -0.10, 0.99)
(-0.03, -0.09, 1.00)
(-0.03, -0.09, 1.00)
(-0.03, -0.09, 1.00)
(-0.04, -0.08, 1.00)
(-0.04, -0.08, 1.00)
(-0.04, -0.08, 1.00)
(-0.04, -0.08, 1.00)
(-0.04, -0.07, 1.00)
(-0.04, -0.07, 1.00)
(-0.04, -0.06, 1.00)
(-0.04, -0.06, 1.00)
(-0.04, -0.06, 1.00)
(-0.04, -0.06, 1.00)
(-0.04, -0.05, 1.00)
(-0.04, -0.04, 1.00)
(-0.04, -0.05, 1.00)
(-0.04, -0.04, 1.00)
(-0.04, -0.05, 1.00)
(-0.03, -0.04, 1.00)
(-0.03, -0.02, 1.00)
(-0.03, -0.02, 1.00)
(-0.04, -0.03, 1.00)
(-0.04, -0.03, 1.00)
(-0.04, -0.03, 1.00)
(-0.04, -0.02, 1.00)
(-0.04, -0.02, 1.00)
(-0.03, 0.00, 1.00)
(-0.03, 0.01, 1.00)
(-0.03, 0.01, 1.00)
(-0.03, 0.01, 1.00)
(-0.03, 0.01, 1.00)
(-0.02, 0.01, 1.00)
(-0.03, 0.00, 1.00)
(-0.03, 0.00, 1.00)
(-0.03, -0.01, 1.00)
(-0.03, -0.02, 1.00)
(-0.03, -0.05, 1.00)
(-0.03, -0.08, 1.00)
(-0.05, -0.05, 1.00)
(-0.05, -0.06, 1.00)
(-0.05, -0.07, 1.00)
(-0.05, -0.07, 1.00)
(-0.05, -0.08, 1.00)
(-0.05, -0.08, 1.00)
(-0.05, -0.08, 1.00)
(-0.05, -0.07, 1.00)
(-0.05, -0.07, 1.00)
(-0.05, -0.07, 1.00)
(-0.06, -0.07, 1.00)
(-0.05, -0.05, 1.00)
(-0.05, -0.05, 1.00)
(-0.05, -0.03, 1.00)
(-0.06, -0.03, 1.00)
(-0.06, -0.02, 1.00)
(-0.05, -0.02, 1.00)
(-0.05, -0.02, 1.00)
(-0.05, -0.02, 1.00)
(-0.05, -0.02, 1.00)
(-0.05, -0.01, 1.00)
(-0.05, -0.02, 1.00)
(-0.06, -0.02, 1.00)
(-0.07, -0.03, 1.00)
(-0.08, -0.05, 1.00)
(-0.08, -0.05, 1.00)
(-0.07, -0.05, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.03, 1.00)
(-0.07, -0.03, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.03, 1.00)
(-0.07, -0.02, 1.00)
(-0.07, -0.01, 1.00)
(-0.07, -0.02, 1.00)
(-0.07, -0.01, 1.00)
(-0.07, -0.01, 1.00)
(-0.07, 0.00, 1.00)
(-0.07, 0.01, 1.00)
(-0.07, 0.01, 1.00)
(-0.07, 0.01, 1.00)
(-0.07, 0.01, 1.00)
(-0.07, 0.01, 1.00)
(-0.07, 0.01, 1.00)
(-0.07, 0.01, 1.00)
(-0.07, 0.01, 1.00)
(-0.07, 0.02, 1.00)
(-0.06, -0.02, 1.00)
(-0.05, -0.05, 1.00)
(-0.06, -0.07, 1.00)
(-0.06, -0.06, 1.00)
(-0.06, -0.06, 1.00)
(-0.06, -0.06, 1.00)
(-0.06, -0.06, 1.00)
(-0.06, -0.06, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.07, -0.04, 1.00)
(-0.07, -0.08, 0.99)
(-0.06, -0.10, 0.99)
(-0.06, -0.14, 0.99)
(-0.05, -0.19, 0.98)
(-0.06, -0.19, 0.98)
(-0.06, -0.18, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.18, 0.98)
(-0.06, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.16, 0.98)
(-0.07, -0.16, 0.98)
(-0.07, -0.16, 0.98)
(-0.07, -0.15, 0.99)
(-0.07, -0.15, 0.99)
(-0.07, -0.14, 0.99)
(-0.08, -0.14, 0.99)
(-0.08, -0.14, 0.99)
(-0.08, -0.14, 0.99)
(-0.08, -0.14, 0.99)
(-0.08, -0.13, 0.99)
(-0.08, -0.14, 0.99)
(-0.08, -0.13, 0.99)
(-0.08, -0.13, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.11, 0.99)
(-0.07, -0.10, 0.99)
(-0.07, -0.08, 0.99)
(-0.07, -0.12, 0.99)
(-0.06, -0.18, 0.98)
(-0.06, -0.18, 0.98)
(-0.06, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.08, -0.18, 0.98)
(-0.08, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.16, 0.98)
(-0.08, -0.16, 0.98)
(-0.08, -0.16, 0.98)
(-0.07, -0.15, 0.99)
(-0.07, -0.14, 0.99)
(-0.07, -0.14, 0.99)
(-0.07, -0.14, 0.99)
(-0.08, -0.14, 0.99)
(-0.08, -0.14, 0.99)
(-0.08, -0.14, 0.99)
(-0.08, -0.14, 0.99)
(-0.08, -0.13, 0.99)
(-0.08, -0.14, 0.99)
(-0.08, -0.13, 0.99)
(-0.08, -0.13, 0.99)
(-0.08, -0.13, 0.99)
(-0.07, -0.11, 0.99)
(-0.07, -0.10, 0.99)
(-0.07, -0.09, 0.99)
(-0.06, -0.09, 0.99)
(-0.07, -0.09, 0.99)
(-0.07, -0.09, 0.99)
(-0.07, -0.13, 0.99)
(-0.06, -0.17, 0.98)
(-0.06, -0.20, 0.98)
(-0.05, -0.24, 0.97)
(-0.05, -0.23, 0.97)
(-0.05, -0.22, 0.97)
(-0.05, -0.22, 0.98)
(-0.05, -0.21, 0.98)
(-0.05, -0.21, 0.98)
(-0.06, -0.22, 0.97)
(-0.05, -0.21, 0.98)
(-0.05, -0.21, 0.98)
(-0.05, -0.21, 0.98)
(-0.05, -0.21, 0.98)
(-0.05, -0.20, 0.98)
(-0.05, -0.20, 0.98)
(-0.04, -0.19, 0.98)
(-0.04, -0.18, 0.98)
(-0.04, -0.17, 0.98)
(-0.04, -0.18, 0.98)
(-0.05, -0.18, 0.98)
(-0.04, -0.16, 0.99)
(-0.04, -0.16, 0.99)
(-0.04, -0.15, 0.99)
(-0.03, -0.15, 0.99)
(-0.04, -0.15, 0.99)
(-0.05, -0.16, 0.99)
(-0.06, -0.15, 0.99)
(-0.06, -0.15, 0.99)
(-0.06, -0.14, 0.99)
(-0.06, -0.14, 0.99)
(-0.06, -0.15, 0.99)
(-0.06, -0.15, 0.99)
(-0.06, -0.14, 0.99)
(-0.05, -0.14, 0.99)
(-0.05, -0.14, 0.99)
(-0.05, -0.13, 0.99)
(-0.05, -0.12, 0.99)
(-0.05, -0.12, 0.99)
(-0.05, -0.12, 0.99)
(-0.05, -0.12, 0.99)
(-0.05, -0.12, 0.99)
(-0.04, -0.11, 0.99)
(-0.05, -0.11, 0.99)
(-0.05, -0.11, 0.99)
(-0.05, -0.11, 0.99)
(-0.05, -0.11, 0.99)
(-0.05, -0.11, 0.99)
(-0.05, -0.10, 0.99)
(-0.05, -0.10, 0.99)
(-0.05, -0.07, 1.00)
(-0.07, -0.11, 0.99)
(-0.07, -0.13, 0.99)
(-0.08, -0.12, 0.99)
(-0.07, -0.12, 0.99)
(-0.07, -0.12, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.11, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.12, 0.99)
(-0.08, -0.11, 0.99)
(-0.08, -0.11, 0.99)
(-0.08, -0.10, 0.99)
(-0.07, -0.07, 0.99)
(-0.07, -0.08, 0.99)
(-0.07, -0.08, 0.99)
(-0.07, -0.08, 0.99)
(-0.07, -0.07, 0.99)
(-0.07, -0.06, 1.00)
(-0.07, -0.06, 1.00)
(-0.08, -0.06, 1.00)
(-0.08, -0.06, 1.00)
(-0.08, -0.06, 1.00)
(-0.07, -0.06, 1.00)
(-0.08, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.08, -0.04, 1.00)
(-0.08, -0.04, 1.00)
(-0.07, -0.04, 1.00)
(-0.06, -0.03, 1.00)
(-0.06, -0.03, 1.00)
(-0.06, -0.05, 1.00)
(-0.05, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.05, -0.05, 1.00)
(-0.06, -0.06, 1.00)
(-0.06, -0.06, 1.00)
(-0.07, -0.07, 0.99)
(-0.08, -0.06, 1.00)
(-0.08, -0.06, 1.00)
(-0.07, -0.06, 1.00)
(-0.07, -0.06, 1.00)
(-0.06, -0.04, 1.00)
(-0.06, -0.05, 1.00)
(-0.06, -0.04, 1.00)
(-0.06, -0.04, 1.00)
(-0.06, -0.04, 1.00)
(-0.06, -0.04, 1.00)
(-0.06, -0.04, 1.00)
(-0.06, -0.02, 1.00)
(-0.06, -0.03, 1.00)
(-0.07, -0.04, 1.00)
(-0.06, -0.03, 1.00)
(-0.05, -0.04, 1.00)
(-0.04, -0.07, 1.00)
(-0.04, -0.06, 1.00)
(-0.04, -0.06, 1.00)
(-0.04, -0.07, 1.00)
(-0.04, -0.06, 1.00)
(-0.04, -0.06, 1.00)
(-0.04, -0.06, 1.00)
(-0.04, -0.07, 1.00)
(-0.04, -0.06, 1.00)
(-0.04, -0.05, 1.00)
(-0.05, -0.05, 1.00)
(-0.05, -0.05, 1.00)
(-0.05, -0.05, 1.00)
(-0.05, -0.05, 1.00)
(-0.06, -0.05, 1.00)
(-0.04, -0.08, 1.00)
(-0.03, -0.11, 0.99)
(-0.03, -0.17, 0.99)
(-0.02, -0.19, 0.98)
(-0.02, -0.23, 0.97)
(-0.01, -0.24, 0.97)
(-0.02, -0.25, 0.97)
(-0.02, -0.25, 0.97)
(-0.02, -0.24, 0.97)
(-0.03, -0.25, 0.97)
(-0.03, -0.25, 0.97)
(-0.03, -0.25, 0.97)
(-0.03, -0.25, 0.97)
(-0.04, -0.25, 0.97)
(-0.03, -0.25, 0.97)
(-0.03, -0.24, 0.97)
(-0.03, -0.24, 0.97)
(-0.03, -0.24, 0.97)
(-0.03, -0.24, 0.97)
(-0.04, -0.23, 0.97)
(-0.04, -0.24, 0.97)
(-0.04, -0.24, 0.97)
(-0.04, -0.23, 0.97)
(-0.04, -0.24, 0.97)
(-0.04, -0.23, 0.97)
(-0.04, -0.23, 0.97)
(-0.04, -0.22, 0.97)
(-0.04, -0.22, 0.97)
(-0.03, -0.22, 0.98)
(-0.04, -0.21, 0.98)
(-0.04, -0.22, 0.98)
(-0.04, -0.22, 0.98)
(-0.04, -0.20, 0.98)
(-0.04, -0.20, 0.98)
(-0.03, -0.19, 0.98)
(-0.03, -0.19, 0.98)
(-0.03, -0.18, 0.98)
(-0.04, -0.20, 0.98)
(-0.04, -0.20, 0.98)
(-0.04, -0.19, 0.98)
(-0.08, -0.20, 0.98)
(-0.08, -0.21, 0.97)
(-0.07, -0.21, 0.98)
(-0.08, -0.21, 0.98)
(-0.08, -0.20, 0.98)
(-0.08, -0.20, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.18, 0.98)
(-0.07, -0.16, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.16, 0.98)
(-0.07, -0.16, 0.98)
(-0.07, -0.15, 0.99)
(-0.07, -0.15, 0.99)
(-0.07, -0.14, 0.99)
(-0.07, -0.14, 0.99)
(-0.07, -0.13, 0.99)
(-0.07, -0.13, 0.99)
(-0.07, -0.14, 0.99)
(-0.08, -0.13, 0.99)
(-0.07, -0.13, 0.99)
(-0.08, -0.13, 0.99)
(-0.08, -0.13, 0.99)
(-0.08, -0.13, 0.99)
(-0.08, -0.13, 0.99)
(-0.08, -0.14, 0.99)
(-0.06, -0.15, 0.99)
(-0.06, -0.19, 0.98)
(-0.06, -0.20, 0.98)
(-0.06, -0.23, 0.97)
(-0.07, -0.23, 0.97)
(-0.07, -0.23, 0.97)
(-0.07, -0.21, 0.97)
(-0.07, -0.22, 0.97)
(-0.07, -0.22, 0.97)
(-0.07, -0.22, 0.97)
(-0.07, -0.22, 0.97)
(-0.07, -0.22, 0.97)
(-0.07, -0.21, 0.97)
(-0.07, -0.21, 0.98)
(-0.07, -0.21, 0.98)
(-0.07, -0.21, 0.98)
(-0.07, -0.20, 0.98)
(-0.07, -0.20, 0.98)
(-0.07, -0.20, 0.98)
(-0.07, -0.20, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.19, 0.98)
(-0.07, -0.18, 0.98)
(-0.08, -0.17, 0.98)
(-0.08, -0.17, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.17, 0.98)
(-0.07, -0.17, 0.98)
(-0.08, -0.16, 0.98)
(-0.07, -0.15, 0.99)
(-0.08, -0.15, 0.99)
(-0.07, -0.16, 0.98)
(-0.04, -0.25, 0.97)
(-0.04, -0.26, 0.97)
(-0.05, -0.26, 0.96)
(-0.03, -0.25, 0.97)
(-0.03, -0.26, 0.97)
(-0.04, -0.25, 0.97)
(-0.04, -0.25, 0.97)
(-0.04, -0.25, 0.97)
(-0.04, -0.25, 0.97)
(-0.04, -0.25, 0.97)
(-0.03, -0.25, 0.97)
(-0.03, -0.25, 0.97)
(-0.03, -0.24, 0.97)
(-0.03, -0.24, 0.97)
(-0.03, -0.24, 0.97)
(-0.03, -0.24, 0.97)
(-0.03, -0.23, 0.97)
(-0.03, -0.23, 0.97)
(-0.03, -0.23, 0.97)
(-0.03, -0.23, 0.97)
(-0.03, -0.23, 0.97)
(-0.03, -0.22, 0.97)
(-0.03, -0.22, 0.97)
(-0.03, -0.21, 0.98)
(-0.03, -0.21, 0.98)
(-0.03, -0.21, 0.98)
(-0.03, -0.21, 0.98)
(-0.03, -0.19, 0.98)
(-0.02, -0.18, 0.98)
(-0.02, -0.18, 0.98)
(-0.02, -0.18, 0.98)
(-0.02, -0.18, 0.98)
(-0.02, -0.18, 0.98)
(-0.02, -0.18, 0.98)
(-0.02, -0.17, 0.98)
(-0.03, -0.18, 0.98)
(-0.04, -0.18, 0.98)
(-0.05, -0.19, 0.98)
(-0.06, -0.20, 0.98)
(-0.06, -0.26, 0.96)
(-0.07, -0.26, 0.96)
(-0.07, -0.25, 0.97)
(-0.06, -0.25, 0.97)
(-0.06, -0.24, 0.97)
(-0.06, -0.25, 0.97)
(-0.06, -0.24, 0.97)
(-0.06, -0.23, 0.97)
(-0.06, -0.23, 0.97)
(-0.07, -0.23, 0.97)
(-0.07, -0.23, 0.97)
(-0.07, -0.23, 0.97)
(-0.07, -0.22, 0.97)
(-0.07, -0.22, 0.97)
(-0.07, -0.22, 0.97)
(-0.07, -0.21, 0.98)
(-0.07, -0.21, 0.98)
