(0.02, -0.01, -1.00)
(0.02, -0.02, -1.00)
(0.00, -0.01, -1.00)
(0.00, -0.01, -1.00)
(0.02, -0.02, -1.00)
(0.01, -0.03, -1.00)
(0.02, -0.02, -1.00)
(0.04, -0.13, -0.99)
(0.04, -0.44, -0.90)
(0.04, -0.14, -0.99)
(-0.02, -0.19, -0.98)
(-0.02, -0.21, -0.98)
(-0.04, -0.13, -0.99)
(0.00, -0.04, -1.00)
(0.00, -0.03, -1.00)
(0.01, -0.01, -1.00)
(0.00, -0.03, -1.00)
(0.02, 0.01, -1.00)
(0.01, 0.01, -1.00)
(0.01, 0.00, -1.00)
(0.03, 0.00, -1.00)
(-0.01, -0.02, -1.00)
(-0.01, -0.02, -1.00)
(0.01, -0.01, -1.00)
(0.03, -0.01, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.01, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.01, -1.00)
(0.00, -0.01, -1.00)
(-0.01, 0.00, -1.00)
(0.01, -0.02, -1.00)
(0.00, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.02, -1.00)
(-0.01, -0.02, -1.00)
(-0.01, -0.03, -1.00)
(-0.01, -0.02, -1.00)
(-0.01, -0.02, -1.00)
(-0.01, -0.02, -1.00)
(-0.01, -0.02, -1.00)
(-0.01, -0.02, -1.00)
(0.00, -0.03, -1.00)
(0.00, -0.03, -1.00)
(0.00, -0.03, -1.00)
(0.00, -0.03, -1.00)
(0.00, -0.04, -1.00)
(0.00, -0.04, -1.00)
(0.00, -0.04, -1.00)
(0.00, -0.04, -1.00)
(0.00, -0.04, -1.00)
(0.01, -0.04, -1.00)
(0.01, -0.05, -1.00)
(0.01, -0.05, -1.00)
(0.01, -0.05, -1.00)
(0.00, -0.04, -1.00)
(0.01, -0.03, -1.00)
(0.02, -0.02, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.00, -1.00)
(0.03, 0.00, -1.00)
(0.04, -0.01, -1.00)
(0.04, 0.00, -1.00)
(0.04, -0.01, -1.00)
(0.04, -0.01, -1.00)
(0.03, -0.01, -1.00)
(0.02, 0.00, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.03, -0.01, -1.00)
(0.03, -0.01, -1.00)
(0.03, -0.01, -1.00)
(0.03, -0.01, -1.00)
(0.03, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.04, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.05, -1.00)
(0.04, -0.04, -1.00)
(0.03, -0.03, -1.00)
(0.05, 0.00, -1.00)
(0.05, 0.00, -1.00)
(0.05, 0.01, -1.00)
(0.05, 0.00, -1.00)
(0.05, 0.00, -1.00)
(0.05, 0.00, -1.00)
(0.05, 0.00, -1.00)
(0.05, 0.00, -1.00)
(0.05, 0.00, -1.00)
(0.05, -0.01, -1.00)
(0.05, -0.01, -1.00)
(0.05, -0.01, -1.00)
(0.05, -0.01, -1.00)
(0.06, -0.01, -1.00)
(0.06, -0.01, -1.00)
(0.06, -0.01, -1.00)
(0.06, -0.01, -1.00)
(0.05, -0.01, -1.00)
(0.05, -0.02, -1.00)
(0.05, -0.02, -1.00)
(0.05, -0.02, -1.00)
(0.05, -0.03, -1.00)
(0.05, -0.03, -1.00)
(0.05, -0.03, -1.00)
(0.06, -0.03, -1.00)
(0.06, -0.03, -1.00)
(0.06, -0.03, -1.00)
(0.05, -0.04, -1.00)
(0.05, -0.04, -1.00)
(0.06, -0.04, -1.00)
(0.05, -0.04, -1.00)
(0.06, -0.04, -1.00)
(0.06, -0.04, -1.00)
(0.06, -0.04, -1.00)
(0.06, -0.04, -1.00)
(0.06, -0.04, -1.00)
(0.06, -0.05, -1.00)
(0.07, -0.05, -1.00)
(0.06, -0.05, -1.00)
(0.06, -0.05, -1.00)
(0.04, -0.06, -1.00)
(0.04, -0.06, -1.00)
(0.04, -0.06, -1.00)
(0.04, -0.06, -1.00)
(0.03, -0.06, -1.00)
(0.02, -0.05, -1.00)
(0.05, -0.04, -1.00)
(0.06, -0.03, -1.00)
(0.05, -0.02, -1.00)
(0.05, -0.02, -1.00)
(0.05, -0.02, -1.00)
(0.05, -0.02, -1.00)
(0.04, -0.02, -1.00)
(0.04, -0.02, -1.00)
(0.04, -0.03, -1.00)
(0.05, -0.03, -1.00)
(0.05, -0.03, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.05, -0.04, -1.00)
(0.05, -0.05, -1.00)
(0.05, -0.05, -1.00)
(0.05, -0.05, -1.00)
(0.05, -0.05, -1.00)
(0.05, -0.05, -1.00)
(0.06, -0.06, -1.00)
(0.06, -0.06, -1.00)
(0.06, -0.06, -1.00)
(0.06, -0.06, -1.00)
(0.06, -0.06, -1.00)
(0.06, -0.06, -1.00)
(0.06, -0.07, -1.00)
(0.04, -0.07, -1.00)
(0.04, -0.07, -1.00)
(0.04, -0.06, -1.00)
(0.03, -0.07, -1.00)
(0.03, -0.07, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.09, -1.00)
(0.02, -0.08, -1.00)
(0.03, -0.08, -1.00)
(0.03, -0.07, -1.00)
(0.05, -0.06, -1.00)
(0.06, -0.05, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.09, -1.00)
(0.02, -0.09, -1.00)
(0.02, -0.08, -1.00)
(0.03, -0.09, -1.00)
(0.03, -0.09, -1.00)
(0.03, -0.10, -0.99)
(0.03, -0.08, -1.00)
(0.04, -0.07, -1.00)
(0.05, -0.05, -1.00)
(0.05, -0.02, -1.00)
(0.04, -0.01, -1.00)
(0.04, -0.01, -1.00)
(0.03, -0.02, -1.00)
(0.04, -0.02, -1.00)
(0.04, -0.02, -1.00)
(0.05, -0.02, -1.00)
(0.05, -0.02, -1.00)
(0.05, -0.02, -1.00)
(0.05, -0.02, -1.00)
(0.05, -0.02, -1.00)
(0.04, -0.02, -1.00)
(0.05, -0.02, -1.00)
(0.04, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.06, -1.00)
(0.04, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.06, -1.00)
(0.03, -0.06, -1.00)
(0.05, -0.05, -1.00)
(0.05, -0.06, -1.00)
(0.05, -0.06, -1.00)
(0.05, -0.06, -1.00)
(0.05, -0.06, -1.00)
(0.05, -0.07, -1.00)
(0.05, -0.07, -1.00)
(0.05, -0.07, -1.00)
(0.05, -0.08, -1.00)
(0.04, -0.08, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.07, -1.00)
(0.03, -0.07, -1.00)
(0.02, -0.06, -1.00)
(0.04, -0.03, -1.00)
(0.03, -0.02, -1.00)
(0.02, -0.01, -1.00)
(0.01, -0.01, -1.00)
(0.01, -0.01, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.02, -0.03, -1.00)
(0.03, -0.02, -1.00)
(0.03, -0.02, -1.00)
(0.03, -0.02, -1.00)
(0.03, -0.02, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.03, -0.06, -1.00)
(0.02, -0.05, -1.00)
(0.01, -0.06, -1.00)
(0.01, -0.06, -1.00)
(0.00, -0.06, -1.00)
(0.01, -0.03, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.03, -1.00)
(0.02, 0.06, -1.00)
(0.02, 0.07, -1.00)
(0.01, 0.07, -1.00)
(0.01, 0.08, -1.00)
(0.01, 0.08, -1.00)
(0.01, 0.07, -1.00)
(0.02, 0.07, -1.00)
(0.02, 0.07, -1.00)
(0.02, 0.08, -1.00)
(0.02, 0.07, -1.00)
(0.02, 0.07, -1.00)
(0.02, 0.07, -1.00)
(0.02, 0.07, -1.00)
(0.02, 0.07, -1.00)
(0.02, 0.07, -1.00)
(0.01, 0.06, -1.00)
(0.01, 0.06, -1.00)
(0.01, 0.05, -1.00)
(0.01, 0.05, -1.00)
(0.01, 0.05, -1.00)
(0.01, 0.05, -1.00)
(0.01, 0.05, -1.00)
(0.02, 0.05, -1.00)
(0.02, 0.05, -1.00)
(0.02, 0.05, -1.00)
(0.01, 0.05, -1.00)
(0.01, 0.04, -1.00)
(0.01, 0.04, -1.00)
(0.01, 0.04, -1.00)
(0.01, 0.04, -1.00)
(0.01, 0.03, -1.00)
(0.01, 0.03, -1.00)
(0.02, 0.03, -1.00)
(0.02, 0.02, -1.00)
(0.01, 0.02, -1.00)
(0.01, 0.02, -1.00)
(0.01, 0.02, -1.00)
(0.01, 0.01, -1.00)
(0.02, 0.01, -1.00)
(0.02, 0.01, -1.00)
(0.02, 0.01, -1.00)
(0.02, 0.01, -1.00)
(0.02, 0.01, -1.00)
(0.01, 0.01, -1.00)
(0.01, 0.00, -1.00)
(0.01, 0.00, -1.00)
(0.01, -0.01, -1.00)
(0.01, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.01, -0.01, -1.00)
(0.01, -0.01, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.04, -0.02, -1.00)
(0.03, -0.02, -1.00)
(0.03, -0.02, -1.00)
(0.03, -0.02, -1.00)
(0.03, -0.02, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.03, -0.06, -1.00)
(0.03, -0.06, -1.00)
(0.03, -0.06, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.07, -1.00)
(0.03, -0.07, -1.00)
(0.03, -0.07, -1.00)
(0.04, -0.07, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.09, -1.00)
(0.02, -0.09, -1.00)
(0.02, -0.09, -1.00)
(0.01, -0.07, -1.00)
(0.04, -0.09, -1.00)
(0.04, -0.09, -1.00)
(0.04, -0.10, -0.99)
(0.03, -0.10, -0.99)
(0.03, -0.10, -0.99)
(0.03, -0.10, -0.99)
(0.02, -0.11, -0.99)
(0.01, -0.09, -1.00)
(0.02, -0.09, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.01, -0.06, -1.00)
(0.03, -0.02, -1.00)
(0.03, 0.00, -1.00)
(0.02, 0.04, -1.00)
(0.02, 0.06, -1.00)
(0.02, 0.06, -1.00)
(0.02, 0.05, -1.00)
(0.02, 0.05, -1.00)
(0.02, 0.05, -1.00)
(0.02, 0.05, -1.00)
(0.02, 0.05, -1.00)
(0.01, 0.06, -1.00)
(0.01, 0.05, -1.00)
(0.01, 0.05, -1.00)
(0.01, 0.05, -1.00)
(0.01, 0.05, -1.00)
(0.01, 0.04, -1.00)
(0.01, 0.04, -1.00)
(0.01, 0.03, -1.00)
(0.01, 0.04, -1.00)
(0.01, 0.04, -1.00)
(0.01, 0.04, -1.00)
(0.01, 0.03, -1.00)
(0.01, 0.03, -1.00)
(0.01, 0.02, -1.00)
(0.01, 0.02, -1.00)
(0.01, 0.02, -1.00)
(0.01, 0.02, -1.00)
(0.02, 0.02, -1.00)
(0.02, 0.02, -1.00)
(0.02, 0.01, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.00, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.01, -0.02, -1.00)
(0.01, -0.03, -1.00)
(0.01, -0.03, -1.00)
(0.01, -0.04, -1.00)
(0.01, -0.04, -1.00)
(0.01, -0.04, -1.00)
(0.01, -0.04, -1.00)
(0.01, -0.05, -1.00)
(0.01, -0.05, -1.00)
(0.01, -0.05, -1.00)
(0.00, -0.05, -1.00)
(0.01, -0.05, -1.00)
(0.01, -0.05, -1.00)
(0.01, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.01, -0.06, -1.00)
(0.00, -0.06, -1.00)
(0.00, -0.06, -1.00)
(0.00, -0.06, -1.00)
(0.00, -0.06, -1.00)
(0.00, -0.07, -1.00)
(0.00, -0.07, -1.00)
(0.00, -0.07, -1.00)
(0.00, -0.07, -1.00)
(0.00, -0.08, -1.00)
(0.00, -0.08, -1.00)
(0.00, -0.08, -1.00)
(0.01, -0.09, -1.00)
(0.04, -0.06, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.06, -1.00)
(0.03, -0.06, -1.00)
(0.03, -0.06, -1.00)
(0.03, -0.07, -1.00)
(0.03, -0.07, -1.00)
(0.05, -0.07, -1.00)
(0.05, -0.07, -1.00)
(0.05, -0.07, -1.00)
(0.05, -0.08, -1.00)
(0.05, -0.08, -1.00)
(0.03, -0.07, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.01, -0.08, -1.00)
(0.01, -0.08, -1.00)
(0.01, -0.08, -1.00)
(0.03, -0.09, -1.00)
(0.03, -0.09, -1.00)
(0.02, -0.09, -1.00)
(0.02, -0.09, -1.00)
(0.02, -0.10, -0.99)
(0.02, -0.10, -0.99)
(0.02, -0.10, -0.99)
(0.02, -0.06, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.03, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.01, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.01, -0.06, -1.00)
(0.01, -0.06, -1.00)
(0.01, -0.06, -1.00)
(0.01, -0.07, -1.00)
(0.01, -0.07, -1.00)
(0.01, -0.07, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.07, -1.00)
(0.04, -0.06, -1.00)
(0.04, -0.05, -1.00)
(0.05, -0.04, -1.00)
(0.04, -0.03, -1.00)
(0.04, -0.03, -1.00)
(0.05, -0.03, -1.00)
(0.05, -0.03, -1.00)
(0.05, -0.03, -1.00)
(0.04, -0.03, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.07, -1.00)
(0.01, -0.07, -1.00)
(0.00, -0.07, -1.00)
(0.00, -0.07, -1.00)
(0.01, -0.08, -1.00)
(0.01, -0.07, -1.00)
(0.02, -0.06, -1.00)
(0.04, -0.04, -1.00)
(0.03, -0.03, -1.00)
(0.04, -0.03, -1.00)
(0.02, -0.04, -1.00)
(0.01, -0.04, -1.00)
(0.01, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.01, -0.04, -1.00)
(0.01, -0.04, -1.00)
(0.01, -0.04, -1.00)
(0.01, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.02, -0.06, -1.00)
(0.01, -0.06, -1.00)
(0.01, -0.07, -1.00)
(0.01, -0.07, -1.00)
(0.01, -0.07, -1.00)
(0.01, -0.07, -1.00)
(0.01, -0.07, -1.00)
(0.01, -0.07, -1.00)
(0.02, -0.07, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.08, -1.00)
(0.02, -0.09, -1.00)
(0.03, -0.08, -1.00)
(0.05, -0.06, -1.00)
(0.05, -0.06, -1.00)
(0.05, -0.03, -1.00)
(0.05, -0.03, -1.00)
(0.05, -0.04, -1.00)
(0.05, -0.04, -1.00)
(0.05, -0.04, -1.00)
(0.05, -0.04, -1.00)
(0.05, -0.04, -1.00)
(0.05, -0.04, -1.00)
(0.05, -0.04, -1.00)
(0.06, -0.04, -1.00)
(0.06, -0.04, -1.00)
(0.06, -0.04, -1.00)
(0.06, -0.04, -1.00)
(0.06, -0.04, -1.00)
(0.06, -0.04, -1.00)
(0.03, -0.06, -1.00)
(0.03, -0.06, -1.00)
(0.03, -0.06, -1.00)
(0.03, -0.06, -1.00)
(0.03, -0.06, -1.00)
(0.03, -0.07, -1.00)
(0.05, -0.06, -1.00)
(0.04, -0.05, -1.00)
(0.04, -0.04, -1.00)
(0.03, -0.01, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.01, -1.00)
(0.02, 0.00, -1.00)
(0.03, 0.00, -1.00)
(0.02, 0.01, -1.00)
(0.02, 0.00, -1.00)
(0.01, 0.00, -1.00)
(0.01, 0.00, -1.00)
(0.01, 0.00, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.00, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.00, -0.01, -1.00)
(0.00, -0.01, -1.00)
(0.00, -0.02, -1.00)
(0.00, -0.02, -1.00)
(0.00, -0.02, -1.00)
(0.00, -0.02, -1.00)
(0.00, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.00, -0.03, -1.00)
(0.00, -0.03, -1.00)
(0.00, -0.04, -1.00)
(0.00, -0.04, -1.00)
(0.00, -0.04, -1.00)
(0.00, -0.05, -1.00)
(0.00, -0.05, -1.00)
(0.01, -0.05, -1.00)
(0.01, -0.05, -1.00)
(0.01, -0.06, -1.00)
(0.01, -0.04, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.02, -0.06, -1.00)
(0.01, -0.07, -1.00)
(0.02, -0.05, -1.00)
(0.02, -0.04, -1.00)
(0.04, -0.03, -1.00)
(0.04, -0.02, -1.00)
(0.04, -0.02, -1.00)
(0.04, -0.02, -1.00)
(0.04, -0.02, -1.00)
(0.04, -0.02, -1.00)
(0.04, -0.02, -1.00)
(0.04, -0.02, -1.00)
(0.04, -0.02, -1.00)
(0.04, -0.03, -1.00)
(0.04, -0.03, -1.00)
(0.04, -0.03, -1.00)
(0.05, -0.03, -1.00)
(0.05, -0.03, -1.00)
(0.05, -0.03, -1.00)
(0.05, -0.02, -1.00)
(0.05, -0.03, -1.00)
(0.04, -0.03, -1.00)
(0.04, -0.03, -1.00)
(0.04, -0.03, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.04, -1.00)
(0.04, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.05, -0.05, -1.00)
(0.05, -0.05, -1.00)
(0.03, -0.03, -1.00)
(0.03, 0.00, -1.00)
(0.02, 0.01, -1.00)
(0.02, 0.01, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.00, -1.00)
(0.02, 0.00, -1.00)
(0.03, 0.00, -1.00)
(0.03, -0.01, -1.00)
(0.03, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.01, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.02, -0.02, -1.00)
(0.03, -0.02, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.04, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.03, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.03, -0.04, -1.00)
(0.02, -0.04, -1.00)
(0.02, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.05, -1.00)
(0.03, -0.03, -1.00)
(0.04, -0.02, -1.00)
(0.03, 0.02, -1.00)
(0.04, 0.03, -1.00)
(0.03, 0.02, -1.00)
(0.03, 0.02, -1.00)
(0.03, 0.02, -1.00)
(0.03, 0.02, -1.00)
(0.03, 0.02, -1.00)
(0.03, 0.02, -1.00)
(0.03, 0.03, -1.00)
(0.03, 0.03, -1.00)
(0.03, 0.03, -1.00)
(0.03, 0.03, -1.00)
(0.03, 0.02, -1.00)
(0.03, 0.02, -1.00)
(0.03, 0.02, -1.00)
(0.03, 0.02, -1.00)
(0.03, 0.01, -1.00)
(0.03, 0.01, -1.00)
(0.03, 0.01, -1.00)
(0.03, 0.01, -1.00)
(0.03, 0.00, -1.00)
(0.03, 0.00, -1.00)
(0.03, 0.00, -1.00)
(0.03, 0.00, -1.00)
(0.03, -0.01, -1.00)
(0.03, -0.01, -1.00)
(0.03, -0.01, -1.00)
(0.03, -0.01, -1.00)
(0.03, -0.01, -1.00)
(0.03, -0.02, -1.00)
(0.03, -0.02, -1.00)
(0.03, -0.02, -1.00)
(0.03, -0.02, -1.00)
(0.02, -0.03, -1.00)
(0.02, -0.01, -1.00)
(0.03, -0.01, -1.00)
(0.02, 0.01, -1.00)
(0.02, 0.01, -1.00)
(0.02, 0.00, -1.00)
(0.02, -0.01, -1.00)
(0.02, 0.00, -1.00)
(0.03, 0.00, -1.00)
(0.03, 0.00, -1.00)
(0.03, 0.00, -1.00)
(0.03, 0.00, -1.00)
(0.03, 0.00, -1.00)
(0.03, 0.00, -1.00)
